work_id,anomaly_prediction,is_anomaly,anomaly_score,lof_prediction,lof_is_anomaly,lof_score,both_models_anomaly,any_model_anomaly,if_normalized_score,lof_normalized_score,if_risk_score,lof_risk_score,combined_anomaly_score,ensemble_is_anomaly,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,risk_factor_count,recommended_amount,sanction_amount,total_expenditure,expenditure_ratio,financial_risk_score,financial_risk_level,financial_risk_factors,ensemble_ai_score,final_ai_risk_score,final_ai_risk_level
WS/MP620/2025-2026/133191,1,0,0.0863850390435509,1,0,-0.9979932013685112,0,0,0.6453212286176946,0.9999999999999998,0.3546787713823054,2.220446049250313e-16,0.2128072628293833,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,1500000.0,1500000.0,850909.0,0.5672726666666666,0.0,HIGH,"['Project expenditure is unusually high compared to other projects', 'High payment concentration per vendor', 'Large number of payments concentrated among very few vendors', 'Multiple financial risk indicators detected simultaneously']",35.46787713822997,20.73,LOW
WS/MP620/2024-2025/133304,1,0,0.2219000816093,-1,1,-29292900071699.703,0,1,0.962425504414801,0.9020619123034338,0.0375744955851989,0.0979380876965662,0.0617199324297458,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,396154.0,396154.0,396154.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",10.286655404957386,10.14,LOW
WS/MP620/2024-2025/133306,1,0,0.220068972412591,1,0,-4.813728271126099,0,0,0.9581407213771828,0.999999999999987,0.0418592786228172,1.2989609388114332e-14,0.0251155671736955,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,495627.0,495627.0,495627.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.1859278622824165,7.09,LOW
WS/MP620/2024-2025/133307,1,0,0.2227623986257846,-1,1,-8852496016472.586,0,1,0.9644433203549552,0.9704025026858863,0.0355566796450447,0.0295974973141135,0.0331730067126722,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,398955.0,398955.0,398955.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.528834452111848,7.76,LOW
WS/MP620/2024-2025/133309,1,0,0.220068972412591,1,0,-3.846070068565626,0,0,0.9581407213771828,0.9999999999999902,0.0418592786228172,9.769962616701378e-15,0.0251155671736942,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,495031.0,495031.0,495031.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.1859278622822,7.09,LOW
WS/MP620/2024-2025/133312,1,0,0.2200098437827035,1,0,-12.95078987768918,0,0,0.9580023607863262,0.99999999999996,0.0419976392136738,4.007905118896815e-14,0.0251985835282203,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,498091.0,498091.0,498091.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.199763921369883,7.1,LOW
WS/MP498/2024-2025/133447,1,0,0.110828116569815,1,0,-4.269264719602557,0,0,0.7025178634005667,0.9999999999999888,0.2974821365994333,1.1102230246251564e-14,0.1784892819596644,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,1602957.0,1602957.0,1602957.0,1.0,10.0,HIGH,"['Project expenditure is unusually high compared to other projects', 'High payment concentration per vendor', 'Large number of payments concentrated among very few vendors', 'Multiple financial risk indicators detected simultaneously']",29.748213659943563,19.87,LOW
WS/MP577/2025-2026/133549,1,0,0.2180144479055633,1,0,-0.998837496637646,0,0,0.9533331480364422,0.9999999999999998,0.0466668519635578,2.220446049250313e-16,0.0280001111781347,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,250000.0,250000.0,250000.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.66668519635561,7.33,LOW
WS/MP577/2025-2026/133551,1,0,0.2159497021214159,1,0,-1.7305962803552426,0,0,0.94850165697692,0.9999999999999972,0.05149834302308,2.664535259100376e-15,0.0308990058138491,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,242105.0,242105.0,242105.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.149834302308004,7.57,LOW
WS/MP577/2025-2026/133563,1,0,0.2148627718505275,1,0,-1.3264614532164545,0,0,0.9459582475526505,0.9999999999999988,0.0540417524473496,1.2212453270876722e-15,0.0324250514684102,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,245697.0,245697.0,245356.0,0.9986121116659952,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.4041752447348514,7.7,LOW
WS/MP577/2025-2026/133565,1,0,0.2180144479055633,1,0,-0.998837496637646,0,0,0.9533331480364422,0.9999999999999998,0.0466668519635578,2.220446049250313e-16,0.0280001111781347,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,250000.0,250000.0,250000.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.66668519635561,7.33,LOW
