work_id,combined_anomaly_score,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,financial_risk_score,financial_risk_level,financial_risk_factors,statistical_anomaly_score,statistical_anomaly_level,statistical_anomaly_factors,ml_normalized_score,final_ai_risk_score,final_ai_risk_level,active_risk_engines,final_ai_risk_factors,risk_detection_confidence
WS/MP005/2024-2025/145074,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/136719,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/137237,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/137238,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/137609,0.1425351809771863,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],23.75586349619737,8.31,LOW,1,[],LOW
WS/MP013/2024-2025/137610,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/137611,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/137612,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/141726,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/141727,0.3700532409117459,MEDIUM,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],20,MEDIUM,['Project expenditure is among the highest 1%'],18,MEDIUM,['Project expenditure is among the highest 1%'],61.67554015195677,29.19,MEDIUM,3,"['Financial risk indicators were detected', 'Statistical financial anomalies were detected', 'Multiple independent AI risk engines detected suspicious patterns']",HIGH
WS/MP013/2024-2025/141729,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/143926,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/143927,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/145805,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/146441,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/151021,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/151022,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/151023,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/151024,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/151025,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP013/2024-2025/151026,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2024-2025/143499,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2024-2025/143500,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2024-2025/160038,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2024-2025/160039,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP017/2025-2026/156775,0.2603545136822278,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],20,MEDIUM,['Project expenditure is among the highest 1%'],18,MEDIUM,['Project expenditure is among the highest 1%'],43.392418947037335,22.79,LOW,3,"['Financial risk indicators were detected', 'Statistical financial anomalies were detected', 'Multiple independent AI risk engines detected suspicious patterns']",HIGH
WS/MP017/2025-2026/160025,0.0500440470278205,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],8.34067450463663,2.92,LOW,1,[],LOW
WS/MP017/2025-2026/160030,0.1853167360668935,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],10,LOW,['Project expenditure is unusually high'],10,LOW,['Project expenditure is statistically high'],30.886122677815138,14.81,LOW,3,"['Financial risk indicators were detected', 'Statistical financial anomalies were detected', 'Multiple independent AI risk engines detected suspicious patterns']",HIGH
WS/MP017/2025-2026/160031,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
