work_id,anomaly_prediction,is_anomaly,anomaly_score,if_risk_score,lof_prediction,lof_is_anomaly,lof_score,lof_risk_score,lof_pattern_frequency,both_models_anomaly,any_model_anomaly,if_risk_score_100,lof_risk_score_100,combined_anomaly_score,combined_risk_score,agreement_bonus,ml_final_risk_score,ml_final_risk_score_100,ensemble_is_anomaly,model_agreement,ensemble_risk_level,primary_ml_source,ensemble_anomaly_rank
WS/MP18209/2025-2026/144766,-1,1,-0.0364048256066416,1.0,-1,1,-100.75580437530893,0.9951803709653864,1,1,1,100.0,99.51803709653863,0.9980721483861545,99.80721483861545,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18209/2025-2026/144764,-1,1,-0.0694729351510652,1.0,-1,1,-13.887667972042498,0.9892653716956332,1,1,1,100.0,98.92653716956332,0.9957061486782532,99.57061486782533,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP410/2024-2025/146775,-1,1,-0.0430117327237888,1.0,-1,1,-32.84272544277135,0.994231050094932,1,1,1,100.0,99.4231050094932,0.9976924200379728,99.76924200379727,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18391/2024-2025/140271,-1,1,-0.1348503098132301,1.0,-1,1,-8.683456273234615,0.9878048780487804,1,1,1,100.0,98.78048780487804,0.9951219512195122,99.51219512195122,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18242/2025-2026/156951,-1,1,-0.0902173410481064,1.0,-1,1,-7.233254137376074,0.9874397546370672,1,1,1,100.0,98.74397546370672,0.9949759018548269,99.4975901854827,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18242/2024-2025/156952,-1,1,-0.0902173410481064,1.0,-1,1,-7.213787054166983,0.9873667299547249,1,1,1,100.0,98.73667299547249,0.9949466919818899,99.49466919818899,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18242/2024-2025/156949,-1,1,-0.0899030348524689,1.0,-1,1,-7.0246183768442165,0.9871476559076968,1,1,1,100.0,98.71476559076969,0.9948590623630787,99.48590623630787,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18152/2024-2025/158093,-1,1,-0.105252516202197,1.0,-1,1,-5865.748143060898,0.9956915437417848,1,1,1,100.0,99.56915437417848,0.9982766174967139,99.82766174967139,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP866/2024-2025/152256,-1,1,-0.0902173410481064,1.0,-1,1,-7.150451439698522,0.9872206805900394,1,1,1,100.0,98.72206805900394,0.9948882722360157,99.48882722360158,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18009/2024-2025/157138,-1,1,-0.087550251879118,1.0,-1,1,-5.539314738920751,0.985906236307872,1,1,1,100.0,98.5906236307872,0.9943624945231488,99.43624945231488,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP794/2024-2025/153212,-1,1,-0.0016516490439991,1.0,-1,1,-3.638624099363409,0.975609756097561,1,1,1,100.0,97.5609756097561,0.9902439024390244,99.02439024390245,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18313/2024-2025/141606,-1,1,-0.0644300330442185,1.0,-1,1,-15.222123457839825,0.989484445742661,1,1,1,100.0,98.9484445742661,0.9957937782970644,99.57937782970644,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18391/2024-2025/140274,-1,1,-0.1310622282744474,1.0,-1,1,-5.072620853924802,0.9849569154374178,1,1,1,100.0,98.49569154374178,0.9939827661749672,99.39827661749672,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP484/2024-2025/150090,-1,1,-0.111211188679778,1.0,-1,1,-5.260465883127543,0.9855411128961588,1,1,1,100.0,98.55411128961588,0.9942164451584635,99.42164451584635,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP827/2025-2026/152382,-1,1,-0.0785204264332268,1.0,-1,1,-4.454872067471388,0.9813421936614576,2,1,1,100.0,98.13421936614576,0.9925368774645831,99.25368774645831,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP827/2025-2026/152381,-1,1,-0.0785204264332268,1.0,-1,1,-4.454872067471388,0.9813421936614576,2,1,1,100.0,98.13421936614576,0.9925368774645831,99.25368774645831,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP459/2025-2026/149089,-1,1,-0.1561307514661457,1.0,-1,1,-5.584133512814471,0.9860522856725572,1,1,1,100.0,98.60522856725572,0.9944209142690229,99.4420914269023,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18207/2024-2025/156029,-1,1,-0.094349041091168,1.0,-1,1,-8.801399508534564,0.9880239520958084,1,1,1,100.0,98.80239520958084,0.9952095808383233,99.52095808383234,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP384/2024-2025/145488,-1,1,-0.0864554394252247,1.0,-1,1,-21.355325937427164,0.9935738279538484,1,1,1,100.0,99.35738279538484,0.9974295311815393,99.74295311815393,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP18249/2025-2026/153601,-1,1,-0.0841009352394985,1.0,-1,1,-4.382713692605711,0.9810866072732584,1,1,1,100.0,98.10866072732584,0.9924346429093034,99.24346429093033,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP541/2025-2026/153744,-1,1,-0.0130047748355807,1.0,-1,1,-553706.4481599263,0.9986855557178326,1,1,1,100.0,99.86855557178326,0.999474222287133,99.94742222871331,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP443/2024-2025/138721,-1,1,-0.1327281084906848,1.0,-1,1,-8.213908082888336,0.9876588286840952,1,1,1,100.0,98.76588286840952,0.995063531473638,99.5063531473638,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP393/2025-2026/148981,-1,1,-0.1297322265276846,1.0,-1,1,-4.485885031950617,0.9814517306849716,1,1,1,100.0,98.14517306849716,0.9925806922739886,99.25806922739886,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
WS/MP243/2025-2026/141110,-1,1,-0.1272237727519173,1.0,-1,1,-4.937955155393662,0.9845917920257048,1,1,1,100.0,98.45917920257048,0.993836716810282,99.38367168102819,0.1,1.0,100.0,1,BOTH_MODELS,CRITICAL,ISOLATION_FOREST + LOF,1
