work_id,state,ida,honble_members_of_parliament,constituency,work_category,work_description,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,completed_amount_disbursed,total_expenditure,payment_count,unique_vendors,has_sanction,has_completion,has_expenditure,sanction_delay_days,completion_duration_days,sanction_difference,expenditure_ratio,sanction_ratio,expenditure_difference,completion_amount_ratio,completion_amount_difference,payments_per_vendor,financial_year,recommended_year,recommended_month,ml_anomaly_score,ensemble_is_anomaly,both_models_anomaly,model_agreement,primary_ml_source,ensemble_risk_level,ml_available,ml_detected,rule_risk_score,risk_factors,financial_risk_score,financial_risk_level,financial_risk_factors,statistical_anomaly_score,statistical_anomaly_level,statistical_anomaly_factors,rule_available,financial_available,statistical_available,ml_normalized_score,rule_normalized_score,financial_normalized_score,statistical_normalized_score,rule_detected,financial_detected,statistical_detected,active_risk_engines,available_risk_engines,base_risk_score,consensus_bonus,final_ai_risk_score,final_ai_risk_level,risk_detection_confidence,primary_risk_source,combined_risk_factors,combined_risk_factor_count,detecting_engines,investigation_priority_score,investigation_priority_category,investigation_rank,risk_level,risk_score,priority_score,priority_category,active_risk_engines_summary,detecting_engines_summary,verified_observations
WS/MP459/2025-2026/149089,Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),T Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,Normal/Others,"Construction of First Floor in UPHC, Radhakrishnan Salai. Zone - 10, Ward - 133",2024-10-23,12000000.0,2025-10-14,12000000.0,Work Completed,,,10478968.0,3.0,1.0,1,0,1,356.0,,0.0,0.8732473333333334,1.0,-1521032.0,,,3.0,2025-2026,2024,10,100.0,1,1,BOTH_MODELS,ISOLATION_FOREST + LOF,CRITICAL,1,1,20.0,['Very high combined anomaly score detected.'],20,MEDIUM,['Project expenditure is among the highest 1%'],65,CRITICAL,"['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,100.0,50.0,32.25806451612903,100.0,1,1,1,4,4,73.95161290322581,20,93.95,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Very high combined anomaly score detected.']"", ""['Project expenditure is among the highest 1%']"", ""['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,1,CRITICAL,93.95,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 93.95 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Recorded expenditure ratio: 0.8732473333333334 | Payment count: 3.0 | Unique vendors: 1.0
WS/MP18065/2026-2027/152353,Haryana,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,Const. of New Charitable Dispensary at Baba Balak Puri Charitable Trust Rohtak,2024-11-14,2100000.0,,,,,,1697302.0,10.0,2.0,0,0,1,,,,,,,,,5.0,2026-2027,2024,11,92.55440338834526,1,0,ISOLATION_FOREST_ONLY,ISOLATION_FOREST,MEDIUM,1,1,10.0,['Moderately unusual anomaly pattern detected.'],55,HIGH,"['Project expenditure is unusually high', 'Extremely high number of payment transactions', 'High payment concentration among vendors', 'Large number of payments concentrated among very few vendors', 'Multiple independent financial risk indicators detected']",50,HIGH,"['Project expenditure is statistically high', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,92.55440338834526,25.0,88.70967741935483,76.92307692307693,1,1,1,4,4,71.77059205440719,20,91.77,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Moderately unusual anomaly pattern detected.']"", ""['Project expenditure is unusually high', 'Extremely high number of payment transactions', 'High payment concentration among vendors', 'Large number of payments concentrated among very few vendors', 'Multiple independent financial risk indicators detected']"", ""['Project expenditure is statistically high', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,2,CRITICAL,91.77,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 91.77 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Payment count: 10.0 | Unique vendors: 2.0
WS/MP18009/2024-2025/154261,Andhra Pradesh,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),B K PARTHASARATHI,HINDUPUR,Normal/Others,construction of community hall at survey no:782-2a & 782-2c of somandepalli village,2024-11-23,7963254.0,,,,2026-08-19,7963254.0,7963254.0,3.0,1.0,0,1,1,,,,,,,,,3.0,2024-2025,2024,11,100.0,1,1,BOTH_MODELS,ISOLATION_FOREST + LOF,CRITICAL,1,1,10.0,['Moderately unusual anomaly pattern detected.'],20,MEDIUM,['Project expenditure is among the highest 1%'],65,CRITICAL,"['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,100.0,25.0,32.25806451612903,100.0,1,1,1,4,4,67.70161290322581,20,87.7,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Moderately unusual anomaly pattern detected.']"", ""['Project expenditure is among the highest 1%']"", ""['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,3,CRITICAL,87.7,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 87.7 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Payment count: 3.0 | Unique vendors: 1.0
WS/MP18309/2024-2025/155212,Meghalaya,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,Normal/Others,For supply of water pipeline and water pump for 50 different villages within Dalu Block.,2024-11-26,10000000.0,,,,,,10000000.0,3.0,1.0,0,0,1,,,,,,,,,3.0,2024-2025,2024,11,100.0,1,1,BOTH_MODELS,ISOLATION_FOREST + LOF,CRITICAL,1,1,10.0,['Moderately unusual anomaly pattern detected.'],20,MEDIUM,['Project expenditure is among the highest 1%'],65,CRITICAL,"['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,100.0,25.0,32.25806451612903,100.0,1,1,1,4,4,67.70161290322581,20,87.7,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Moderately unusual anomaly pattern detected.']"", ""['Project expenditure is among the highest 1%']"", ""['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,4,CRITICAL,87.7,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 87.7 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Payment count: 3.0 | Unique vendors: 1.0
WS/MP18309/2024-2025/155216,Meghalaya,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,Normal/Others,For supply of water pipeline and water pump in 50 different villages within Gambegre Block.,2024-11-26,10000000.0,,,,,,10000000.0,3.0,1.0,0,0,1,,,,,,,,,3.0,2024-2025,2024,11,100.0,1,1,BOTH_MODELS,ISOLATION_FOREST + LOF,CRITICAL,1,1,10.0,['Moderately unusual anomaly pattern detected.'],20,MEDIUM,['Project expenditure is among the highest 1%'],65,CRITICAL,"['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,100.0,25.0,32.25806451612903,100.0,1,1,1,4,4,67.70161290322581,20,87.7,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Moderately unusual anomaly pattern detected.']"", ""['Project expenditure is among the highest 1%']"", ""['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,5,CRITICAL,87.7,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 87.7 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Payment count: 3.0 | Unique vendors: 1.0
WS/MP243/2025-2026/141110,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,2 storied building for skill development centre,2024-09-15,9522744.0,2025-11-25,9522744.0,Physical Inspection,,,9522744.0,2.0,1.0,1,0,1,436.0,,0.0,1.0,1.0,0.0,,,2.0,2025-2026,2024,9,100.0,1,1,BOTH_MODELS,ISOLATION_FOREST + LOF,CRITICAL,1,1,20.0,['Very high combined anomaly score detected.'],20,MEDIUM,['Project expenditure is among the highest 1%'],40,HIGH,"['Project expenditure is among the highest 0.5%', 'Extremely high payment concentration per vendor']",1,1,1,100.0,50.0,32.25806451612903,61.53846153846154,1,1,1,4,4,66.25930521091811,20,86.26,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Very high combined anomaly score detected.']"", ""['Project expenditure is among the highest 1%']"", ""['Project expenditure is among the highest 0.5%', 'Extremely high payment concentration per vendor']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,6,CRITICAL,86.26,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 86.26 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Recorded expenditure ratio: 1.0 | Payment count: 2.0 | Unique vendors: 1.0
WS/MP391/2025-2026/146422,Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),Thiru Dayanidhi Maran,CHENNAI CENTRAL,Normal/Others,"CONSTRUCTION OF BOXING ACADEMY BUILDING IN GOPALAPURAM WARD 111, PART 25, ZONE 9 OF CHENNAI CENTRAL CONSITUENCY",2024-10-09,10000000.0,2025-12-06,10000000.0,Work Completed,,,9749010.0,2.0,1.0,1,0,1,423.0,,0.0,0.974901,1.0,-250990.0,,,2.0,2025-2026,2024,10,100.0,1,1,BOTH_MODELS,ISOLATION_FOREST + LOF,CRITICAL,1,1,20.0,['Very high combined anomaly score detected.'],20,MEDIUM,['Project expenditure is among the highest 1%'],40,HIGH,"['Project expenditure is among the highest 0.5%', 'Extremely high payment concentration per vendor']",1,1,1,100.0,50.0,32.25806451612903,61.53846153846154,1,1,1,4,4,66.25930521091811,20,86.26,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Very high combined anomaly score detected.']"", ""['Project expenditure is among the highest 1%']"", ""['Project expenditure is among the highest 0.5%', 'Extremely high payment concentration per vendor']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,7,CRITICAL,86.26,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 86.26 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Recorded expenditure ratio: 0.974901 | Payment count: 2.0 | Unique vendors: 1.0
WS/MP18109/2024-2025/150121,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,Normal/Others,GRAM PANCHAYAT KUSHIYARI ME NH39 SE EGS SHALA LAKHIYA TOLA KHUSHIYARI TAK WBM SADAK NIRMAN,2024-10-30,1000000.0,2025-01-28,1000000.0,Vendor Identification,,,999900.0,12.0,1.0,1,0,1,90.0,,0.0,0.9999,1.0,-100.0,,,12.0,2024-2025,2024,10,66.88914853220388,1,0,ISOLATION_FOREST_ONLY,ISOLATION_FOREST,MEDIUM,1,1,10.0,['Moderately unusual anomaly pattern detected.'],62,CRITICAL,"['Project expenditure is unusually high', 'Extremely high number of payment transactions', 'Extremely high payment concentration among vendors', 'Large number of payments concentrated among very few vendors', 'Multiple independent financial risk indicators detected']",50,HIGH,"['Project expenditure is statistically high', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,66.88914853220388,25.0,100.0,76.92307692307693,1,1,1,4,4,65.04581737088674,20,85.05,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Moderately unusual anomaly pattern detected.']"", ""['Project expenditure is unusually high', 'Extremely high number of payment transactions', 'Extremely high payment concentration among vendors', 'Large number of payments concentrated among very few vendors', 'Multiple independent financial risk indicators detected']"", ""['Project expenditure is statistically high', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,8,CRITICAL,85.05,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 85.05 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Recorded expenditure ratio: 0.9999 | Payment count: 12.0 | Unique vendors: 1.0
WS/MP18355/2025-2026/158359,Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),SHOBHA KARANDLAJE,BANGALORE NORTH,Normal/Others,"Construction of Yoga Center at Pulakeshi Nagar Ward No-78 Stephens Road,Elephants Park",2024-12-12,3000000.0,,,,,,2999973.0,4.0,1.0,0,0,1,,,,,,,,,4.0,2025-2026,2024,12,91.60508251789103,1,0,ISOLATION_FOREST_ONLY,ISOLATION_FOREST,MEDIUM,1,1,10.0,['Moderately unusual anomaly pattern detected.'],20,MEDIUM,['Project expenditure is among the highest 1%'],65,CRITICAL,"['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,91.60508251789103,25.0,32.25806451612903,100.0,1,1,1,4,4,64.76339178448767,20,84.76,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Moderately unusual anomaly pattern detected.']"", ""['Project expenditure is among the highest 1%']"", ""['Project expenditure is among the highest 0.5%', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,9,CRITICAL,84.76,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 84.76 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Payment count: 4.0 | Unique vendors: 1.0
WS/MP643/2024-2025/146592,Madhya Pradesh,Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),Gyaneshwar Patil,KHANDWA,Normal/Others,near kunbhi samaj go shala singot bhavan nirman,2024-10-10,1500000.0,2025-01-02,1500000.0,Vendor Identification,,,1104530.0,31.0,14.0,1,0,1,84.0,,0.0,0.7363533333333333,1.0,-395470.0,,,2.2142857142857144,2024-2025,2024,10,84.90433766613116,1,0,ISOLATION_FOREST_ONLY,ISOLATION_FOREST,MEDIUM,1,1,20.0,['Very high combined anomaly score detected.'],22,MEDIUM,"['Project expenditure is unusually high', 'Extremely high number of payment transactions']",50,HIGH,"['Project expenditure is statistically high', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']",1,1,1,84.90433766613116,50.0,35.483870967741936,76.92307692307693,1,1,1,4,4,64.69790776130968,20,84.7,CRITICAL,VERY HIGH,Multi-Engine Consensus,"[""['Very high combined anomaly score detected.']"", ""['Project expenditure is unusually high', 'Extremely high number of payment transactions']"", ""['Project expenditure is statistically high', 'Extremely high number of payment transactions', 'Extremely high payment concentration per vendor', 'Multiple independent statistical anomalies detected']""]",3,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,10,CRITICAL,84.7,100.0,P1 - IMMEDIATE REVIEW,4,"ML Anomaly, Rule-Based, Financial, Statistical",Final AI risk score: 84.7 | Final AI risk level: CRITICAL | 4 independent risk engines detected significant risk signals. | Recorded expenditure ratio: 0.7363533333333333 | Payment count: 31.0 | Unique vendors: 14.0
