model,metric,value,interpretation
ML,coverage_percent,24.9671,Percentage of projects with a model score
Rule,coverage_percent,24.9671,Percentage of projects with a model score
Financial,coverage_percent,100.0,Percentage of projects with a model score
Statistical,coverage_percent,100.0,Percentage of projects with a model score
Unified,coverage_percent,100.0,Percentage of projects with a model score
ML,mean_score,0.088506,
ML,median_score,0.056222,
ML,max_score,0.6,
Rule,mean_score,0.190114,
Rule,median_score,0.0,
Rule,max_score,40.0,
Financial,mean_score,0.681904,
Financial,median_score,0.0,
Financial,max_score,62.0,
Statistical,mean_score,1.419892,
Statistical,median_score,0.0,
Statistical,max_score,65.0,
Unified,mean_score,2.178891,
Unified,median_score,0.0,
Unified,max_score,93.95,
Rule,risk_level_MISSING_percent,75.0329,
Rule,risk_level_LOW_percent,24.8868,
Rule,risk_level_MEDIUM_percent,0.0438,
Rule,risk_level_HIGH_percent,0.0365,
Financial,risk_level_LOW_percent,98.8608,
Financial,risk_level_MEDIUM_percent,1.0881,
Financial,risk_level_HIGH_percent,0.0438,
Financial,risk_level_CRITICAL_percent,0.0073,
Statistical,risk_level_LOW_percent,94.8226,
Statistical,risk_level_MEDIUM_percent,4.7831,
Statistical,risk_level_HIGH_percent,0.3286,
Statistical,risk_level_CRITICAL_percent,0.0657,
Unified,risk_level_LOW_percent,97.5902,
Unified,risk_level_MEDIUM_percent,1.8475,
Unified,risk_level_HIGH_percent,0.4601,
Unified,risk_level_CRITICAL_percent,0.1022,
Rule,high_critical_count,5.0,
Rule,critical_count,0.0,
Financial,high_critical_count,7.0,
Financial,critical_count,1.0,
Statistical,high_critical_count,54.0,
Statistical,critical_count,9.0,
Unified,high_critical_count,77.0,
Unified,critical_count,14.0,
Ensemble,0_engine_agreement_percent,99.4669,
Ensemble,1_engine_agreement_percent,0.387,
Ensemble,2_engine_agreement_percent,0.1314,
Ensemble,3_engine_agreement_percent,0.0146,
ML,top_10_overlap_with_unified_percent,60.0,
ML,top_20_overlap_with_unified_percent,60.0,
ML,top_50_overlap_with_unified_percent,60.0,
ML,top_100_overlap_with_unified_percent,72.0,
Rule,top_10_overlap_with_unified_percent,30.0,
Rule,top_20_overlap_with_unified_percent,40.0,
Rule,top_50_overlap_with_unified_percent,64.0,
Rule,top_100_overlap_with_unified_percent,44.0,
Financial,top_10_overlap_with_unified_percent,40.0,
Financial,top_20_overlap_with_unified_percent,30.0,
Financial,top_50_overlap_with_unified_percent,40.0,
Financial,top_100_overlap_with_unified_percent,61.0,
Statistical,top_10_overlap_with_unified_percent,40.0,
Statistical,top_20_overlap_with_unified_percent,35.0,
Statistical,top_50_overlap_with_unified_percent,56.0,
Statistical,top_100_overlap_with_unified_percent,53.0,
Unified,zero_score_percent,75.0548,
Unified,confidence_VERY LOW_percent,96.2173,
Unified,confidence_LOW_percent,1.6577,
Unified,confidence_HIGH_percent,0.9639,
Unified,confidence_MEDIUM_percent,0.9639,
Unified,confidence_VERY HIGH_percent,0.1972,
Unified,0_active_engines_percent,96.2173,
Unified,1_active_engines_percent,1.6577,
Unified,2_active_engines_percent,0.9639,
Unified,3_active_engines_percent,0.9639,
Unified,4_active_engines_percent,0.1972,
