work_id,state,ida,honble_members_of_parliament,constituency,work_category,work_description,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,completed_amount_disbursed,total_expenditure,payment_count,unique_vendors,has_sanction,has_completion,has_expenditure,sanction_delay_days,completion_duration_days,sanction_difference,expenditure_ratio,sanction_ratio,expenditure_difference,completion_amount_ratio,completion_amount_difference,payments_per_vendor,financial_year,recommended_year,recommended_month,anomaly_prediction,is_anomaly,anomaly_score,risk_score,risk_level,risk_reasons
WS/MP620/2025-2026/133191,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,1500000.0,2025-05-29,1500000.0,Work partially Completed,,,850909.0,1.0,1.0,1,0,1,325.0,,0.0,0.5672726666666666,1.0,-649091.0,,,1.0,2025-2026,2024,7,1,0,0.0863850390435509,0,LOW,No significant risk indicators detected
WS/MP620/2024-2025/133304,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,396154.0,2024-08-22,396154.0,Physical Inspection,,,396154.0,1.0,1.0,1,0,1,44.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2219000816093,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP620/2024-2025/133306,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,495627.0,2025-03-14,495627.0,Physical Inspection,,,495627.0,1.0,1.0,1,0,1,248.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.220068972412591,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP620/2024-2025/133307,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,398955.0,2024-08-17,398955.0,Physical Inspection,,,398955.0,1.0,1.0,1,0,1,39.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2227623986257846,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP620/2024-2025/133309,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,495031.0,2025-03-14,495031.0,Physical Inspection,,,495031.0,1.0,1.0,1,0,1,248.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.220068972412591,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP620/2024-2025/133312,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,498091.0,2024-07-25,498091.0,Physical Inspection,2025-06-09,498091.0,498091.0,1.0,1.0,1,1,1,16.0,319.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2024-2025,2024,7,1,0,0.2200098437827035,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP498/2024-2025/133447,West Bengal,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),Dr Sukanta Majumdar,BALURGHAT,Normal/Others,Phage 2: Concrete R.C.C. bridge,2024-07-13,1602957.0,2024-08-07,1602957.0,Physical Inspection,2026-07-27,1602957.0,1602957.0,1.0,1.0,1,1,1,25.0,719.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2024-2025,2024,7,1,0,0.110828116569815,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133549,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khnagela game mota faliya ma c.c.road nu kam,2024-07-17,250000.0,2025-04-11,250000.0,Physical Inspection,,,250000.0,1.0,1.0,1,0,1,268.0,,0.0,1.0,1.0,0.0,,,1.0,2025-2026,2024,7,1,0,0.2180144479055633,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133551,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,2024-07-17,242105.0,2025-10-17,242105.0,Physical Inspection,,,242105.0,1.0,1.0,1,0,1,457.0,,0.0,1.0,1.0,0.0,,,1.0,2025-2026,2024,7,1,0,0.2159497021214159,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133563,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,chandawada game toranvali mahudi faliya ma c.c.road nu kam,2024-07-17,245697.0,2025-10-07,245697.0,Physical Inspection,,,245356.0,1.0,1.0,1,0,1,447.0,,0.0,0.9986121116659952,1.0,-341.0,,,1.0,2025-2026,2024,7,1,0,0.2148627718505275,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133565,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,simaliya khurd  game gamtal thi majubhai na ghar sudhi c.c.road nu kam,2024-07-17,250000.0,2025-04-11,250000.0,Physical Inspection,,,250000.0,1.0,1.0,1,0,1,268.0,,0.0,1.0,1.0,0.0,,,1.0,2025-2026,2024,7,1,0,0.2180144479055633,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133567,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bhutodi game mohaniya  faliya ma c.c.road nu kam,2024-07-17,245098.0,2025-10-17,245098.0,Physical Inspection,,,245098.0,1.0,1.0,1,0,1,457.0,,0.0,1.0,1.0,0.0,,,1.0,2025-2026,2024,7,1,0,0.216628318073172,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133569,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,2024-07-17,250000.0,2025-04-11,250000.0,Physical Inspection,,,250000.0,1.0,1.0,1,0,1,268.0,,0.0,1.0,1.0,0.0,,,1.0,2025-2026,2024,7,1,0,0.2180144479055633,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133575,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nalwai game chopadi faliya ma c.c.road nu kam,2024-07-17,250000.0,2025-03-27,250000.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,0.997164,1.0,-709.0,,,1.0,2024-2025,2024,7,1,0,0.2154197416330463,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133579,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bhutardi game bhuriya faliya ma c.c.road nu kam,2024-07-17,247496.0,2025-10-04,247496.0,Physical Inspection,,,247496.0,1.0,1.0,1,0,1,444.0,,0.0,1.0,1.0,0.0,,,1.0,2025-2026,2024,7,1,0,0.2170557180887293,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133584,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,vajelav game sarpanch faliya ma c.c.road nu kam,2024-07-17,249291.0,2025-03-27,249291.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2172831024080728,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133585,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,2024-07-17,250000.0,2025-03-27,250000.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,0.997164,1.0,-709.0,,,1.0,2024-2025,2024,7,1,0,0.2154197416330463,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133588,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,rayan panchayat limbu faliya thi lilva talavne jodto c.c.road nu kam,2024-07-17,250000.0,2025-03-27,250000.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,0.997164,1.0,-709.0,,,1.0,2024-2025,2024,7,1,0,0.2154197416330463,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133591,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,abhlod game umriya umariya faliya thi pranmji mandir par c.c.road nu kam,2024-07-17,250000.0,2026-01-12,250000.0,Physical Inspection,,,248443.0,1.0,1.0,1,0,1,544.0,,0.0,0.993772,1.0,-1557.0,,,1.0,2025-2026,2024,7,1,0,0.2122768970489921,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133592,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,kharva game bhuriya faliya ma c.c.road nu kam,2024-07-17,249291.0,2025-03-27,249291.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2172831024080728,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133597,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nimach game nichvas faliya ma c.c.road nu kam,2024-07-17,249291.0,2025-03-27,249291.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2172831024080728,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133600,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,sahada game nishal faliya thi khaped faliya ne jodto c.c.road nu kam,2024-07-17,249291.0,2025-03-27,249291.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2172831024080728,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2024-2025/133601,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nava faliya thi bamniya sudhi c.c.road nu kam,2024-07-17,249291.0,2025-03-27,249291.0,Physical Inspection,,,249291.0,1.0,1.0,1,0,1,253.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2172831024080728,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP577/2025-2026/133602,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nadhelav game burva  faliyama sarvjanik kuva nu kam,2024-07-17,250000.0,2026-01-12,250000.0,Physical Inspection,,,250000.0,1.0,1.0,1,0,1,544.0,,0.0,1.0,1.0,0.0,,,1.0,2025-2026,2024,7,1,0,0.2180144479055633,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP18032/2024-2025/134025,Bihar,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),SUDHAKAR SINGH,BUXAR,Normal/Others,"Purchase of new Bench, Desks nos. - 200 at Jagdev Lohia Inter college.",2024-07-23,899640.0,2025-03-18,899640.0,Physical Inspection,,,899640.0,1.0,1.0,1,0,1,238.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.1793478140190126,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP632/2024-2025/134093,Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Anto Antony,PATHANAMTHITTA,Normal/Others,Concreting of Muslim Pally- Kannamthanam Kadavu Road in Erumely Grama Panchayat.,2024-07-24,294496.0,2024-11-11,294496.0,Physical Inspection,,,294496.0,1.0,1.0,1,0,1,110.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2160379782198321,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP632/2024-2025/134106,Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Anto Antony,PATHANAMTHITTA,Normal/Others,Concreeting of Chakkiyanippady- Pullattupadi Road in Poonjar Thekkekara Grama Panchayat.,2024-07-24,286879.0,2024-11-28,286879.0,Physical Inspection,,,286879.0,1.0,1.0,1,0,1,127.0,,0.0,1.0,1.0,0.0,,,1.0,2024-2025,2024,7,1,0,0.2165799899577441,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP18067/2025-2026/134321,Haryana,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,Normal/Others,one Tractor ambulance purchase in Gaushala Panchyati Land village kheri gujjar,2025-03-15,545000.0,2026-02-17,545000.0,Work partially Completed,,,475750.0,1.0,1.0,1,0,1,339.0,,0.0,0.8729357798165137,1.0,-69250.0,,,1.0,2025-2026,2025,3,1,0,0.1898623037297085,0,LOW,No significant risk indicators detected
WS/MP18067/2025-2026/134323,Haryana,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,Normal/Others,Installation of Fixed Gym equipments,2025-03-15,300000.0,2025-05-08,300000.0,Work partially Completed,,,289100.0,2.0,1.0,1,0,1,54.0,,0.0,0.9636666666666668,1.0,-10900.0,,,2.0,2025-2026,2025,3,1,0,0.122683699594056,0,LOW,Expenditure is very close to the sanctioned amount
WS/MP18065/2025-2026/134736,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,Const. of Kabaddi Hall near Shiv Mandir,2024-08-05,1000000.0,2025-09-01,1000000.0,Physical Inspection,,,730401.0,2.0,1.0,1,0,1,392.0,,0.0,0.730401,1.0,-269599.0,,,2.0,2025-2026,2024,8,1,0,0.074290819682421,0,LOW,No significant risk indicators detected
